runcat,eta,V,maxFlx,avgFlx,freq,dpts,newSrc
318,1.2220410409958,0.136611513254888,0.00342878760876242,0.00265411535715612,1283.8955078125,4,N
1194,0.462874996535233,0.450416853412992,0.000218602694131677,9.33592348490275e-05,1283.8955078125,8,N
140,2.15998609837101,0.125013862656944,0.00138334928971413,0.000885828905596206,1283.8955078125,16,N
1398,0.510590827143163,0.621329762085815,0.000171742877096744,5.93614108202933e-05,1283.8955078125,5,N
927,0.736729116623553,0.650630498205263,0.000200284240701636,6.55836600929002e-05,1283.8955078125,4,N
1127,0.37867747617996,0.222905503056654,0.000261832037140842,0.000157103742861666,1283.8955078125,50,N
1184,0.513922579259901,0.415890357686505,0.000189076830186043,9.44039369316698e-05,1283.8955078125,7,N
851,0.829544173120254,0.782095183337503,0.000203701904371582,4.83966239659235e-05,1283.8955078125,4,N
819,0.792152271874425,0.802350872959338,0.00020264621231282,4.98200192761627e-05,1283.8955078125,4,N
1467,0.450867121108319,0.505824940093843,0.000171032631996991,7.72635152347722e-05,1283.8955078125,2,N
741,0.488270541226766,0.420380535981848,0.000261041446073085,0.000101059094446337,1283.8955078125,16,N
1101,0.518720345857882,0.428690362134343,0.000197759071669534,8.7021937592274e-05,1283.8955078125,10,N
1435,0.483710926008621,0.564542597959125,0.000194758084047137,7.8852178341481e-05,1283.8955078125,2,N
448,2.31738852591192,0.380309875165556,0.000404465709764616,0.000256771251170807,1283.8955078125,53,N
1496,0.573166425136012,0.437273623178858,0.000198915903137722,9.65600341802421e-05,1283.8955078125,20,N
172,0.367627422058246,0.132225768266566,0.000486121691552383,0.000345586867945431,1283.8955078125,63,N
1456,0.704137978199338,1.5113151709604,0.000124592753951757,3.03932473895058e-05,1283.8955078125,2,N
488,1.41017055877286,0.151261400426928,0.000565775454793177,0.000447410017024151,1283.8955078125,65,N
489,0.505020160772238,0.165645156210767,0.00109072292146618,0.000698407768918339,1283.8955078125,65,N
277,0.536791203319973,0.115279784566168,0.00103635290272343,0.000772172498302203,1283.8955078125,65,N
225,0.660569488739019,0.395814044719638,0.00045523548904337,0.000174033687904804,1283.8955078125,41,N
1366,0.329190716886618,0.193768833530191,0.000217163471776804,0.000147142623417108,1283.8955078125,55,N
534,0.674488574177527,0.830214931703126,0.00145196618814827,0.000353984975175997,1283.8955078125,2,N
415,5.63414874237251,0.149036488940923,0.00402495269290151,0.00239504825104563,1283.8955078125,65,N
1098,0.510414409670226,0.508398316233546,0.000157264808550435,7.11625260885263e-05,1283.8955078125,4,N
770,0.460921670940198,0.292121877112791,0.000200011939028789,0.000138988764991463,1283.8955078125,31,N
1479,0.834591648297473,0.531098894535638,0.000163632905050656,7.50322954421823e-05,1283.8955078125,14,N
1196,0.588942816724006,0.503526556443946,0.000191590815415595,8.43369046170709e-05,1283.8955078125,15,N
1148,0.569065034953269,0.564048203647066,0.000198893377897348,0.000102824092880371,1283.8955078125,10,N
38,0.725437484718009,0.0418067499115246,0.0016722021847105,0.00140774586989117,1283.8955078125,65,N
116,1.9452016659023,0.0525978301580698,0.00152283384948552,0.00136867875699616,1283.8955078125,65,N
118,166.116935612709,0.0430678028453549,0.0706485448091495,0.0634563694894941,1283.8955078125,65,N
232,10.2345569376279,0.158510572320894,0.00305462682676891,0.00200420089886923,1283.8955078125,65,N
431,0.971483249897134,0.651666602091941,0.000737171281585232,0.000221869268494835,1283.8955078125,17,N
364,2.73884925636955,0.0562130215341756,0.00739285503747375,0.00551732344886923,1283.8955078125,65,N
192,3.68055715516931,0.0263098133110532,0.005715664404973,0.00513802288878183,1283.8955078125,65,N
434,1.53977800477518,0.142853965815178,0.00257402839615465,0.00167778276857012,1283.8955078125,65,N
1373,0.373101451736789,0.202392552345257,0.000345426152900679,0.000185717135481787,1283.8955078125,59,N
92,2.7060288226535,0.0584906398743524,0.00170178199156329,0.0014259191110488,1283.8955078125,65,N
94,1.05111119202735,0.154589874319806,0.00213465084090851,0.00146998693511058,1283.8955078125,65,N
